Skip to main content Search Search Search Toggle navigation Cornell University Registrar Classes + Enrollment Class Roster Courses of Study Courses of Study Archive Student Essentials Gateway Courses Prorated Tuition Student Center FAQ Classes and Enrollment FAQ University Registration Calendars + Exams Academic Calendar Final Exam Policies Spring Prelim Schedule Spring Final Exam Schedule Fall Prelim Exam Schedule Fall Final Exam Schedule Grades + Transcripts Grading Median Grades Ordering Transcripts Transcript FAQ Transcript Keys Validating an eTranscript Service + Resources Apostille Certifications University Registrar Directory College Advising Directory College Registrar Directory Diploma Information Disability Accommodations FERPA ID Cards Mental Health at Cornell Names and Name Changes Use of Student Data Veteran Education Benefits Building Codes Faculty + Staff Faculty Center/Advisor Center Advisor Center FAQ Opscan Scanning Service Changing CIP Codes Data Requests Program Registration For Registrar Staff Spring Final Exam Schedule NOTE: These dates may include Religious Holidays for some students. NYS Education Law §224-A mandates that faculty make available an opportunity to make up any examination missed because of religious beliefs. In order to facilitate preparation of makeup exams, students intending to be absent in order to observe any of these holidays are requested to notify the instructor by Friday, April 1, 2022. For additional information about Final Exam policies, see the Faculty Handbook. 
Class              date          time     exam location or date due
ASIAN 2212 001   5/20/2022      2:00 PM   Uris Hall G01
ASIAN 2218 001   5/20/2022      2:00 PM   Rockefeller Hall 203
ASIAN 2222 001   5/16/2022      2:00 PM   McGraw Hall 165
ASIAN 2250 001   5/18/2022     12:00 PM   Final Deliverable due
ASIAN 2251 101   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 2252 001   5/17/2022      4:30 PM   Final Deliverable due
ASIAN 2257 001   5/18/2022     12:00 PM   Final Deliverable due
ASIAN 2259 001   5/18/2022     12:00 PM   Final Deliverable due
ASIAN 2275 001   5/19/2022      4:30 PM   Final Deliverable due
ASIAN 2279 001   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 2291 001   5/19/2022      4:30 PM   Final Deliverable due
ASIAN 3313 001   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 3316 001   5/18/2022      4:30 PM   Final Deliverable due
ASIAN 3329 101   5/19/2022      4:30 PM   Final Deliverable due
ASIAN 3341 101   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 3344 001   5/17/2022     12:00 PM   Final Deliverable due
ASIAN 3350 001   5/19/2022      4:30 PM   Final Deliverable due
ASIAN 3375 101   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 4417 101   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 4423 101   5/18/2022     12:00 PM   Final Deliverable due
ASIAN 4437 101   5/19/2022     12:00 PM   Final Deliverable due
ASIAN 4454 101   5/19/2022     12:00 PM   Final Deliverable due
ASIAN 4455 101   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 4494 101   5/18/2022     12:00 PM   Final Deliverable due
ASIAN 6604 101   5/18/2022     12:00 PM   Final Deliverable due
ASIAN 6612 101   5/18/2022      4:30 PM   Final Deliverable due
ASIAN 6616 001   5/18/2022      4:30 PM   Final Deliverable due
ASIAN 6617 101   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 6622 101   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 6623 101   5/18/2022     12:00 PM   Final Deliverable due
ASIAN 6639 101   5/19/2022      4:30 PM   Final Deliverable due
ASIAN 6655 101   5/16/2022     12:00 PM   Final Deliverable due
ASIAN 6677 101   5/16/2022     12:00 PM   Final Deliverable due

ASL 1101 101     5/18/2022      7:00 PM   Morrill Hall 106
ASL 1102 101     5/16/2022      9:00 AM   Goldwin Smith Hall G76 Lewis
ASL 1102 102     5/15/2022      2:00 PM   Goldwin Smith Hall 132 HEC Aud
ASL 1102 103     5/17/2022      2:00 PM   Morrill Hall 107
ASL 1102 104     5/16/2022      7:00 PM   Morrill Hall 102
ASL 1102 105     5/19/2022      2:00 PM   Morrill Hall 107
ASL 2201 001     5/19/2022      2:00 PM   Morrill Hall 106
ASL 2202 101     5/18/2022      2:00 PM   Morrill Hall 106
ASL 2301 001     5/16/2022      7:00 PM   Morrill Hall 110
ASL 5510 101     5/19/2022      2:00 PM   Morrill Hall 106

ASRC 1500 001    5/18/2022      9:00 AM   McGraw Hall 165
ASRC 1650 001    5/15/2022      7:00 PM   Goldwin Smith Hall 142
ASRC 1856 101    5/18/2022     12:00 PM   Final Deliverable due
ASRC 1858 101    5/16/2022     12:00 PM   Final Deliverable due
ASRC 2025 101    5/16/2022     12:00 PM   Final Deliverable due
ASRC 2091 101    5/16/2022     12:00 PM   Final Deliverable due
ASRC 2308 001    5/16/2022     12:00 PM   Final Deliverable due
ASRC 2317 101    5/18/2022     12:00 PM   Final Deliverable due
ASRC 2512 001    5/18/2022      4:30 PM   Final Deliverable due
ASRC 2674 001    5/19/2022      4:30 PM   Final Deliverable due
ASRC 2750 103    5/19/2022      4:30 PM   Final Deliverable due
ASRC 3222 101    5/18/2022      9:00 AM   Uris Hall G44
ASRC 3350 101    5/19/2022      7:00 PM   McGraw Hall 165
ASRC 3405 001    5/14/2022      2:00 PM   Ives Hall 108
ASRC 3440 101    5/18/2022      4:30 PM   Final Deliverable due
ASRC 3625 101    5/16/2022     12:00 PM   Final Deliverable due
ASRC 3734 101    5/19/2022      4:30 PM   Final Deliverable due
ASRC 3742 101    5/17/2022     12:00 PM   Final Deliverable due
ASRC 4002 101    5/18/2022     12:00 PM   Final Deliverable due
ASRC 4155 101    5/19/2022      4:30 PM   Final Deliverable due
ASRC 4653 101    5/16/2022     12:00 PM   Final Deliverable due
ASRC 4655 101    5/17/2022      4:30 PM   Final Deliverable due
ASRC 4668 101    5/17/2022      4:30 PM   Final Deliverable due
ASRC 4669 101    5/17/2022      4:30 PM   Final Deliverable due
ASRC 4670 101    5/16/2022     12:00 PM   Final Deliverable due
ASRC 6155 101    5/19/2022      4:30 PM   Final Deliverable due
ASRC 6653 101    5/16/2022     12:00 PM   Final Deliverable due
ASRC 6668 101    5/17/2022      4:30 PM   Final Deliverable due
ASRC 6669 101    5/17/2022      4:30 PM   Final Deliverable due
ASRC 6670 101    5/16/2022     12:00 PM   Final Deliverable due
ASRC 6819 101    5/16/2022     12:00 PM   Final Deliverable due

ASTRO 1102 001   5/18/2022      9:00 AM   Rockefeller Hall 201 Schwartz Aud
ASTRO 1104 001   5/18/2022      9:00 AM   Rockefeller Hall 201 Schwartz Aud
ASTRO 2211 001   5/20/2022      9:00 AM   Space Sciences Bldg 105
ASTRO 3302 001   5/17/2022      9:00 AM   Space Sciences Bldg 105
ASTRO 4431 001   5/16/2022     12:00 PM   Final Deliverable due
ASTRO 6570 001   5/18/2022     12:00 PM   Final Deliverable due
ASTRO 6579 001   5/20/2022      2:00 PM   Space Sciences Bldg 105

BCS 1132 101     5/15/2022      2:00 PM   Goldwin Smith Hall 162
BCS 2134 101     5/18/2022     12:00 PM   Final Deliverable due

BEE 2220 001     5/20/2022      2:00 PM   Riley-Robb Hall 400
BEE 3299 001     5/19/2022      4:30 PM   Final Deliverable due
BEE 3400 001     5/19/2022      4:30 PM   Final Deliverable due
BEE 3600 001     5/16/2022     12:00 PM   Final Deliverable due
BEE 4310 001     5/17/2022     12:00 PM   Final Deliverable due
BEE 4500 002     5/16/2022      7:00 PM   Riley-Robb Hall 125
BEE 4530 001     5/17/2022     12:00 PM   Final Deliverable due
BEE 4710 001     5/18/2022     12:00 PM   Final Deliverable due
BEE 4760 001     5/15/2022      2:00 PM   Riley-Robb Hall 105
BEE 4940 002     5/18/2022     12:00 PM   Final Deliverable due
BEE 5299 001     5/19/2022      4:30 PM   Final Deliverable due
BEE 5530 001     5/17/2022     12:00 PM   Final Deliverable due
BEE 5600 001     5/16/2022     12:00 PM   Final Deliverable due
BEE 6310 001     5/17/2022     12:00 PM   Final Deliverable due
BEE 6710 001     5/18/2022     12:00 PM   Final Deliverable due
BEE 6740 001     5/17/2022     12:00 PM   Final Deliverable due

BENGL 1122 001   5/19/2022     12:00 PM   Final Deliverable due
BENGL 2202 001   5/18/2022     12:00 PM   Final Deliverable due
BENGL 3302 101   5/19/2022      4:30 PM   Final Deliverable due

BIOAP 2140 001   5/16/2022      9:00 AM   Riley-Robb Hall 125
BIOAP 3160 001   5/18/2022     12:00 PM   Final Deliverable due
BIOAP 3300 001   5/16/2022      9:00 AM   Morrison Hall 146
BIOAP 3410 001   5/19/2022      2:00 PM   Morrison Hall 163
BIOAP 4140 001   5/20/2022      2:00 PM   Plant Science Building 233
BIOAP 5300 001   5/16/2022      9:00 AM   Morrison Hall 146
BIOAP 5410 001   5/19/2022      2:00 PM   Morrison Hall 163

BIOEE 1610 001   5/19/2022      7:00 PM   Kennedy Hall 116 Call Aud
BIOEE 1610 002   5/19/2022      7:00 PM   Kennedy Hall 116 Call Aud
BIOEE 1640 101   5/18/2022      4:30 PM   Final Deliverable due
BIOEE 1640 102   5/18/2022     12:00 PM   Final Deliverable due
BIOEE 1640 103   5/18/2022     12:00 PM   Final Deliverable due
BIOEE 1640 104   5/16/2022     12:00 PM   Final Deliverable due
BIOEE 1640 105   5/18/2022      4:30 PM   Final Deliverable due
BIOEE 1780 001   5/14/2022      9:00 AM   Kennedy Hall 116 Call Aud
BIOEE 1780 002   5/14/2022      9:00 AM   Kennedy Hall 116 Call Aud
BIOEE 1781 001   5/14/2022      9:00 AM   Kennedy Hall 116 Call Aud
BIOEE 3690 001   5/18/2022      9:00 AM   Warren Hall 151
BIOEE 4460 001   5/19/2022      2:00 PM   Malott Hall 253
BIOEE 4750 001   5/15/2022      2:00 PM   Warren Hall 175
BIOEE 4940 001   5/20/2022      2:00 PM   Comstock Hall 2123

BIOG 1250 104    5/18/2022     12:00 PM   Final Deliverable due
BIOG 1250 107    5/19/2022     12:00 PM   Final Deliverable due
BIOG 1440 001    5/16/2022      7:00 PM   Statler Hall 185
BIOG 1445 001    5/20/2022      9:00 AM   Goldwin Smith Hall 142
BIOG 1445 002    5/20/2022      9:00 AM   Goldwin Smith Hall 142

BIOMG 1290 001   5/18/2022     12:00 PM   Final Deliverable due
BIOMG 1350 001   5/17/2022      7:00 PM   Barton Hall 100 Center, Barton Hall 100 East
BIOMG 2800 001   5/15/2022      2:00 PM   Morrison Hall 146
BIOMG 2801 001   5/20/2022      9:00 AM   Kennedy Hall 116 Call Aud
BIOMG 2801 002   5/20/2022      9:00 AM   Kennedy Hall 116 Call Aud
BIOMG 3300 001   5/21/2022      9:00 AM   Plant Science Building 233
BIOMG 3320 001   5/15/2022      2:00 PM   Rockefeller Hall 201 Schwartz Aud
BIOMG 3350 001   5/15/2022      7:00 PM   Warren Hall 151
BIOMG 4320 001   5/14/2022      2:00 PM   Warren Hall 151
BIOMG 4390 001   5/18/2022      7:00 PM   Warren Hall 151
BIOMG 4400 401   5/18/2022      4:30 PM   Final Deliverable due
BIOMG 4400 402   5/18/2022      4:30 PM   Final Deliverable due
BIOMG 4940 001   5/16/2022     12:00 PM   Final Deliverable due
BIOMG 6321 001   5/15/2022      2:00 PM   Rockefeller Hall 201 Schwartz Aud
BIOMG 6350 001   5/15/2022      7:00 PM   Warren Hall 151
BIOMG 6360 001   5/17/2022      9:00 AM   Online Exam
BIOMG 6390 001   5/18/2022     12:00 PM   Final Deliverable due
BIOMG 6391 001   5/18/2022      7:00 PM   Warren Hall 151
BIOMG 6400 401   5/18/2022      4:30 PM   Final Deliverable due
BIOMG 6400 402   5/18/2022      4:30 PM   Final Deliverable due
BIOMG 6870 001   5/16/2022     12:00 PM   Final Deliverable due
BIOMG 7510 002   5/20/2022      9:00 AM   Warren Hall 101

BIOMI 1200 001   5/19/2022      2:00 PM   Plant Science Building 143
BIOMI 2600 001   5/20/2022      2:00 PM   Stocking Hall 146
BIOMI 2900 001   5/18/2022      9:00 AM   Kennedy Hall 116 Call Aud
BIOMI 2900 002   5/18/2022      9:00 AM   Kennedy Hall 116 Call Aud
BIOMI 2911 001   5/18/2022      7:00 PM   Warren Hall 175
BIOMI 3310 001   5/15/2022      2:00 PM   Morrison Hall 163
BIOMI 3500 001   5/18/2022      2:00 PM   Warren Hall 175
BIOMI 4040 001   5/14/2022      2:00 PM   Goldwin Smith Hall G64 Kau Aud
BIOMI 4040 002   5/14/2022      2:00 PM   Goldwin Smith Hall G64 Kau Aud

BIOMS 3160 001   5/18/2022     12:00 PM   Final Deliverable due
BIOMS 3310 001   5/15/2022      2:00 PM   Morrison Hall 163
BIOMS 4040 001   5/14/2022      2:00 PM   Goldwin Smith Hall G64 Kau Aud
BIOMS 4040 002   5/14/2022      2:00 PM   Goldwin Smith Hall G64 Kau Aud
BIOMS 4140 001   5/20/2022      2:00 PM   Plant Science Building 233
BIOMS 4311 001   5/18/2022      2:00 PM   Morrison Hall 334

BIONB 1220 101   5/19/2022      4:30 PM   Final Deliverable due
BIONB 2220 001   5/19/2022      9:00 AM   Ives Hall 305
BIONB 2220 002   5/19/2022      9:00 AM   Ives Hall 305
BIONB 3215 001   5/16/2022     12:00 PM   Final Deliverable due
BIONB 3280 001   5/18/2022      9:00 AM   Goldwin Smith Hall G64 Kau Aud
BIONB 3690 001   5/18/2022      9:00 AM   Warren Hall 151
BIONB 4140 001   5/20/2022      2:00 PM   Plant Science Building 233
BIONB 4260 001   5/16/2022      9:00 AM   Stocking Hall 202
BIONB 4460 001   5/19/2022      2:00 PM   Malott Hall 253
BIONB 4550 001   5/16/2022     12:00 PM   Final Deliverable due
BIONB 4910 001   5/14/2022      9:00 AM   Statler Hall 165
BIONB 5910 001   5/14/2022      9:00 AM   Statler Hall 165

BME 2110 001     5/16/2022      7:00 PM   Gates Hall G01
BME 3020 001     5/14/2022      9:00 AM   Kimball Hall B11
BME 3110 001     5/17/2022     12:00 PM   Final Deliverable due
BME 3210 001     5/16/2022      7:00 PM   Plant Science Building 143
BME 3310 001     5/19/2022      7:00 PM   Upson Hall 146
BME 3410 001     5/16/2022      9:00 AM   Upson Hall 146
BME 4020 001     5/16/2022      7:00 PM   Warren Hall 151
BME 4910 001     5/14/2022      9:00 AM   Statler Hall 165
BME 5320 001     5/14/2022      9:00 AM   Statler Hall 165
BME 5620 001     5/19/2022      4:30 PM   Final Deliverable due
BME 5780 001     5/19/2022      4:30 PM   Final Deliverable due
BME 6260 001     5/18/2022      4:30 PM   Final Deliverable due
BME 6320 001     5/18/2022      4:30 PM   Final Deliverable due

BSOC 2061 001    5/18/2022      4:30 PM   Final Deliverable due
BSOC 2211 001    5/18/2022     12:00 PM   Final Deliverable due
BSOC 2468 001    5/18/2022     12:00 PM   Final Deliverable due
BSOC 2581 001    5/19/2022      4:30 PM   Final Deliverable due
BSOC 2721 001    5/17/2022      4:30 PM   Final Deliverable due
BSOC 3181 001    5/16/2022     12:00 PM   Final Deliverable due
BSOC 3235 001    5/16/2022     12:00 PM   Final Deliverable due
BSOC 3390 001    5/17/2022      4:30 PM   Final Deliverable due
BSOC 4634 101    5/18/2022     12:00 PM   Final Deliverable due
BSOC 4650 101    5/17/2022      4:30 PM   Final Deliverable due

BTRY 3020 001    5/16/2022      9:00 AM   Goldwin Smith Hall 132 HEC Aud
BTRY 3080 001    5/18/2022      9:00 AM   Ives Hall 105
BTRY 4090 001    5/16/2022      9:00 AM   Ives Hall 105
BTRY 4140 001    5/16/2022      7:00 PM   Warren Hall 175
BTRY 5020 001    5/16/2022      9:00 AM   Goldwin Smith Hall 132 HEC Aud
BTRY 5090 001    5/16/2022      9:00 AM   Ives Hall 105
BTRY 6020 001    5/14/2022      2:00 PM   Goldwin Smith Hall 132 HEC Aud

BURM 1122 001    5/19/2022     12:00 PM   Final Deliverable due
BURM 2202 001    5/18/2022      4:30 PM   Final Deliverable due
BURM 3302 001    5/19/2022     12:00 PM   Final Deliverable due

CAPS 1622 001    5/16/2022      2:00 PM   McGraw Hall 165
CAPS 1740 001    5/16/2022     12:00 PM   Final Deliverable due
CAPS 2212 001    5/20/2022      2:00 PM   Uris Hall G01
CAPS 2932 001    5/19/2022      4:30 PM   Final Deliverable due
CAPS 3329 101    5/19/2022      4:30 PM   Final Deliverable due
CAPS 4049 101    5/19/2022     12:00 PM   Final Deliverable due
CAPS 4420 101    5/16/2022     12:00 PM   Final Deliverable due
CAPS 4773 101    5/17/2022      4:30 PM   Final Deliverable due

CEE 1130 001     5/14/2022      2:00 PM   Olin Hall 255
CEE 3200 001     5/19/2022      7:00 PM   Hollister Hall B14
CEE 3230 001     5/16/2022      2:00 PM   Phillips Hall 101
CEE 3510 001     5/21/2022      9:00 AM   Hollister Hall 110
CEE 3610 001     5/14/2022      9:00 AM   Olin Hall 255
CEE 4330 001     5/19/2022      9:00 AM   Hollister Hall 314
CEE 4330 002     5/19/2022      9:00 AM   Hollister Hall 312
CEE 4530 401     5/17/2022      9:00 AM   Hollister Hall 320
CEE 4665 001     5/19/2022      7:00 PM   Hollister Hall 320
CEE 4740 001     5/17/2022      9:00 AM   Upson Hall 142
CEE 4750 001     5/19/2022      7:00 PM   Hollister Hall 110
CEE 5052 103     5/20/2022      2:00 PM   Hollister Hall 362
CEE 5052 104     5/19/2022      7:00 PM   Hollister Hall 312
CEE 5052 105     5/17/2022      2:00 PM   Hollister Hall 312
CEE 5610 001     5/14/2022      9:00 AM   Olin Hall 255
CEE 5665 001     5/19/2022      7:00 PM   Hollister Hall 320
CEE 5900 001     5/17/2022      2:00 PM   Olin Hall 155
CEE 5900 002     5/17/2022      tba       Remote Proctored Exam 
CEE 6075 001     5/19/2022      7:00 PM   Hollister Hall 110
CEE 6091 101     5/21/2022      9:00 AM   Olin Hall 155
CEE 6091 102     5/17/2022      9:00 AM   Thurston Hall 202
CEE 6330 001     5/19/2022      9:00 AM   Hollister Hall 314
CEE 6330 002     5/16/2022      2:00 PM   Hollister Hall 312
CEE 6550 001     5/20/2022      2:00 PM   Hollister Hall 312
CEE 6640 001     5/15/2022      2:00 PM   Hollister Hall 312
CEE 6725 001     5/20/2022      2:00 PM   Phillips Hall 407
CEE 6750 001     5/19/2022      7:00 PM   Hollister Hall 110
CEE 6910 001     5/17/2022      2:00 PM   Olin Hall 155
CEE 6910 002     5/17/2022      tba       Remote Proctored Exam 
CEE 7740 001     5/15/2022      2:00 PM   Hollister Hall 320
CEE 7780 001     5/17/2022      2:00 PM   Thurston Hall 202

CHEM 1570 001    5/19/2022      9:00 AM   Baker Laboratory 200
CHEM 2080 001    5/16/2022      2:00 PM   Barton Hall 100 Center, Barton Hall 100 East, Barton Hall 100 West
CHEM 2080 002    5/16/2022      2:00 PM   Barton Hall 100 Center, Barton Hall 100 East, Barton Hall 100 West
CHEM 2090 001    5/20/2022      9:00 AM   Baker Laboratory 200
CHEM 2510 001    5/16/2022      2:00 PM   Statler Hall 185, Statler Hall 196
CHEM 2880 001    5/16/2022      9:00 AM   Rockefeller Hall B15
CHEM 3010 001    5/19/2022      2:00 PM   Baker Laboratory 219
CHEM 3580 001    5/19/2022      7:00 PM   Barton Hall 100 Center, Barton Hall 100 East
CHEM 3580 002    5/19/2022      7:00 PM   Barton Hall 100 Center, Barton Hall 100 East
CHEM 3590 001    5/17/2022      7:00 PM   Baker Laboratory 200
CHEM 3900 001    5/20/2022      9:00 AM   Rockefeller Hall 203
CHEM 4100 001    5/18/2022      9:00 AM   Baker Laboratory 200
CHEM 6250 001    5/19/2022      7:00 PM   Baker Laboratory 219
CHEM 6290 001    5/16/2022      7:00 PM   Baker Laboratory 119
CHEM 6660 001    5/15/2022      2:00 PM   Baker Laboratory 219
CHEM 6900 001    5/20/2022      9:00 AM   Rockefeller Hall 203

CHEME 3230 001   5/16/2022      7:00 PM   Hollister Hall B14
CHEME 3320 001   5/19/2022      9:00 AM   Olin Hall 245
CHEME 3720 001   5/14/2022      2:00 PM   Upson Hall 142
CHEME 3900 001   5/18/2022      9:00 AM   Olin Hall 245
CHEME 4020 001   5/14/2022      9:00 AM   Kimball Hall B11
CHEME 5440 001   5/15/2022      2:00 PM   Snee Hall 1150
CHEME 5862 001   5/17/2022      2:00 PM   Olin Hall 165
CHEME 6400 001   5/18/2022     12:00 PM   Final Deliverable due
CHEME 6880 001   5/16/2022     12:00 PM   Final Deliverable due
CHEME 7130 001   5/19/2022      4:30 PM   Final Deliverable due
CHEME 7770 001   5/18/2022      4:30 PM   Final Deliverable due

CHIN 1102 001    5/17/2022      7:00 PM   Goldwin Smith Hall G76 Lewis
CHIN 1102 002    5/17/2022      7:00 PM   Goldwin Smith Hall G76 Lewis
CHIN 1110 101    5/18/2022      4:30 PM   Final Deliverable due
CHIN 1110 102    5/18/2022      4:30 PM   Final Deliverable due
CHIN 1110 103    5/18/2022      4:30 PM   Final Deliverable due
CHIN 1110 104    5/18/2022      4:30 PM   Final Deliverable due
CHIN 1122 001    5/14/2022      9:00 AM   Rockefeller Hall B15
CHIN 1124 001    5/20/2022      2:00 PM   Rockefeller Hall 183
CHIN 2202 101    5/21/2022      9:00 AM   Rockefeller Hall 128
CHIN 2202 102    5/21/2022      9:00 AM   Rockefeller Hall 128
CHIN 2202 103    5/21/2022      9:00 AM   Rockefeller Hall 128
CHIN 2210 101    5/18/2022      4:30 PM   Final Deliverable due
CHIN 2210 102    5/18/2022      4:30 PM   Final Deliverable due
CHIN 3302 101    5/18/2022      4:30 PM   Final Deliverable due
CHIN 3302 102    5/18/2022      4:30 PM   Final Deliverable due
CHIN 4428 101    5/19/2022      4:30 PM   Final Deliverable due

CHLIT 2214 001   5/19/2022      4:30 PM   Final Deliverable due
CHLIT 4420 101   5/16/2022     12:00 PM   Final Deliverable due
CHLIT 6616 101   5/17/2022      4:30 PM   Final Deliverable due
CHLIT 6620 101   5/16/2022     12:00 PM   Final Deliverable due

CLASS 1531 101   5/18/2022      4:30 PM   Final Deliverable due
CLASS 2646 001   5/16/2022      7:00 PM   Rockefeller Hall 122
CLASS 2680 001   5/19/2022      4:30 PM   Final Deliverable due
CLASS 2685 001   5/19/2022      9:00 AM   Goldwin Smith Hall G64 Kau Aud
CLASS 2689 001   5/20/2022      2:00 PM   Goldwin Smith Hall 142
CLASS 2712 001   5/16/2022      4:30 PM   Final Deliverable due
CLASS 2750 102   5/18/2022      4:30 PM   Final Deliverable due
CLASS 2770 101   5/18/2022     12:00 PM   Final Deliverable due
CLASS 2812 001   5/18/2022      4:30 PM   Final Deliverable due
CLASS 3396 001   5/18/2022     12:00 PM   Final Deliverable due
CLASS 3636 101   5/19/2022      4:30 PM   Final Deliverable due
CLASS 3645 001   5/16/2022      9:00 AM   Goldwin Smith Hall 144
CLASS 3664 101   5/18/2022     12:00 PM   Final Deliverable due
CLASS 3674 001   5/17/2022     12:00 PM   Final Deliverable due
CLASS 3735 001   5/15/2022      2:00 PM   Goldwin Smith Hall G76 Lewis
CLASS 3738 101   5/19/2022      4:30 PM   Final Deliverable due
CLASS 4681 101   5/16/2022     12:00 PM   Final Deliverable due
CLASS 4752 101   5/19/2022      4:30 PM   Final Deliverable due
CLASS 4756 101   5/16/2022     12:00 PM   Final Deliverable due
CLASS 6681 101   5/16/2022     12:00 PM   Final Deliverable due
CLASS 7752 101   5/19/2022      4:30 PM   Final Deliverable due
CLASS 7770 101   5/18/2022     12:00 PM   Final Deliverable due

COGST 1101 001   5/15/2022      2:00 PM   Statler Hall 185
COGST 1105 001   5/14/2022      2:00 PM   Uris Hall G01
COGST 2310 001   5/19/2022      9:00 AM   Statler Hall 198
COGST 3140 001   5/16/2022      9:00 AM   Statler Hall 265
COGST 3302 001   5/18/2022      4:30 PM   Final Deliverable due
COGST 3420 001   5/15/2022      2:00 PM   Uris Hall G01
COGST 4240 001   5/18/2022     12:00 PM   Final Deliverable due
COGST 6420 002   5/15/2022      2:00 PM   Uris Hall G01
COGST 7090 001   5/16/2022      7:00 PM   Ives Hall 305

COML 1104 101    5/19/2022     12:00 PM   Final Deliverable due
COML 1105 101    5/17/2022     12:00 PM   Final Deliverable due
COML 1105 102    5/16/2022     12:00 PM   Final Deliverable due
COML 1105 103    5/18/2022     12:00 PM   Final Deliverable due
COML 1105 104    5/16/2022      4:30 PM   Final Deliverable due
COML 1105 105    5/18/2022     12:00 PM   Final Deliverable due
COML 1105 106    5/18/2022     12:00 PM   Final Deliverable due
COML 1106 101    5/19/2022     12:00 PM   Final Deliverable due
COML 1119 101    5/16/2022     12:00 PM   Final Deliverable due
COML 1134 101    5/19/2022      4:30 PM   Final Deliverable due
COML 1136 101    5/19/2022      4:30 PM   Final Deliverable due
COML 1137 101    5/18/2022      4:30 PM   Final Deliverable due
COML 2000 001    5/19/2022      7:00 PM   Goldwin Smith Hall G76 Lewis
COML 2003 101    5/16/2022     12:00 PM   Final Deliverable due
COML 2032 101    5/17/2022     12:00 PM   Final Deliverable due
COML 2050 101    5/14/2022      9:00 AM   Goldwin Smith Hall G64 Kau Aud
COML 2241 101    5/18/2022     12:00 PM   Final Deliverable due
COML 2703 001    5/17/2022      4:30 PM   Final Deliverable due
COML 2750 101    5/18/2022     12:00 PM   Final Deliverable due
COML 3021 001    5/17/2022      9:00 AM   Online Exam
COML 3262 001    5/18/2022      4:30 PM   Final Deliverable due
COML 3440 001    5/16/2022      9:00 AM   Goldwin Smith Hall 144
COML 3486 101    5/18/2022      4:30 PM   Final Deliverable due
COML 3550 001    5/16/2022     12:00 PM   Final Deliverable due
COML 3580 101    5/18/2022     12:00 PM   Final Deliverable due
COML 3636 101    5/19/2022      4:30 PM   Final Deliverable due
COML 3744 101    5/19/2022      4:30 PM   Final Deliverable due
COML 3985 101    5/19/2022      4:30 PM   Final Deliverable due
COML 4008 101    5/16/2022     12:00 PM   Final Deliverable due
COML 4240 101    5/18/2022     12:00 PM   Final Deliverable due
COML 4251 101    5/19/2022      4:30 PM   Final Deliverable due
COML 4423 101    5/18/2022     12:00 PM   Final Deliverable due
COML 4809 101    5/16/2022     12:00 PM   Final Deliverable due
COML 6136 101    5/17/2022      4:30 PM   Final Deliverable due
COML 6159 001    5/17/2022      9:00 AM   Online Exam
COML 6623 101    5/18/2022     12:00 PM   Final Deliverable due
COML 6685 101    5/19/2022      4:30 PM   Final Deliverable due
COML 6809 101    5/16/2022     12:00 PM   Final Deliverable due
COML 6850 101    5/16/2022     12:00 PM   Final Deliverable due

COMM 1300 001    5/20/2022      2:00 PM   Kennedy Hall 116 Call Aud
COMM 2450 001    5/16/2022      9:00 AM   Statler Hall 196
COMM 3010 001    5/19/2022      9:00 AM   Kennedy Hall 213
COMM 3010 002    5/19/2022      2:00 PM   Kennedy Hall 213
COMM 3450 001    5/18/2022      4:30 PM   Final Deliverable due
COMM 3800 001    5/18/2022      2:00 PM   Warren Hall 151
COMM 4400 001    5/19/2022      4:30 PM   Final Deliverable due
COMM 4450 101    5/16/2022     12:00 PM   Final Deliverable due
COMM 6450 101    5/16/2022     12:00 PM   Final Deliverable due

CRP 1109 101     5/16/2022      4:30 PM   Final Deliverable due
CRP 3850 109     5/16/2022     12:00 PM   Final Deliverable due
CRP 4440 001     5/20/2022      2:00 PM   Goldwin Smith Hall G22
CRP 4590 001     5/14/2022      9:00 AM   McGraw Hall 165
CRP 5440 001     5/20/2022      2:00 PM   Goldwin Smith Hall G22
CRP 5590 001     5/14/2022      9:00 AM   McGraw Hall 165
CRP 5661 801     5/19/2022      4:30 PM   Final Deliverable due
CRP 5850 109     5/16/2022     12:00 PM   Final Deliverable due
CRP 6560 101     5/16/2022      9:00 AM   Online Exam
CRP 8902 704     5/19/2022      4:30 PM   Final Deliverable due
CRP 8902 708     5/19/2022      4:30 PM   Final Deliverable due
CRP 8902 710     5/19/2022      4:30 PM   Final Deliverable due
CRP 8902 711     5/19/2022      4:30 PM   Final Deliverable due
CRP 8902 712     5/19/2022      4:30 PM   Final Deliverable due
CRP 8902 714     5/19/2022      4:30 PM   Final Deliverable due
CRP 8902 716     5/19/2022      4:30 PM   Final Deliverable due
